iter	RMSE
0	0.01249972809
1	0.0120493865
2	0.011631212
3	0.0112371032
4	0.01087025814
5	0.0105192689
6	0.01019712799
7	0.009892604529
8	0.009607011428
9	0.009335554566
10	0.00908621819
11	0.008850482532
12	0.008633426343
13	0.008434461784
14	0.008238729547
15	0.008062200506
16	0.007898462277
17	0.00774193063
18	0.007602483816
19	0.007467045068
20	0.00733983277
21	0.007221685792
22	0.007111592944
23	0.007011026517
24	0.0069114265
25	0.006820257255
26	0.00673782137
27	0.006656920647
28	0.00658633878
29	0.006516977352
30	0.00645557018
31	0.006394169615
32	0.00633930033
33	0.006286604061
34	0.006235479028
35	0.006192175521
36	0.006147226881
37	0.006106896518
38	0.006069171498
39	0.006031927678
40	0.005999033071
41	0.00596683777
42	0.005935698718
43	0.005907084441
44	0.005881430987
45	0.005855075629
46	0.005828835314
47	0.005806702387
48	0.005785101517
49	0.005765367014
50	0.005747085346
51	0.005723379215
52	0.005704174628
53	0.005686868956
54	0.005668262584
55	0.005653448345
56	0.005638252856
57	0.005619833047
58	0.005603434362
59	0.005588902102
60	0.005574899492
61	0.005561060413
62	0.00554614174
63	0.00552895812
64	0.005517501611
65	0.005507488305
66	0.005497244008
67	0.005485066099
68	0.005473226573
69	0.005461813164
70	0.005446903596
71	0.00543654826
72	0.005422645291
73	0.005412563031
74	0.005401193493
75	0.005394120722
76	0.005383231621
77	0.005374820083
78	0.005365895753
79	0.005354914646
80	0.005347640435
81	0.005342478115
82	0.005332036819
83	0.005325204781
84	0.005316739942
85	0.005307521739
86	0.005299614349
87	0.005291087939
88	0.005285286343
89	0.005275881534
90	0.005268594309
91	0.005260058756
92	0.005251721947
93	0.005245176748
94	0.005235915383
95	0.005229068657
96	0.005221110813
97	0.005214944912
98	0.005207561934
99	0.005201136038
100	0.005194669974
101	0.005189074813
102	0.005180982166
103	0.005175331479
104	0.005168818072
105	0.005162831108
106	0.005156025196
107	0.005151810728
108	0.005146061819
109	0.005138252245
110	0.005132518962
111	0.00512591157
112	0.005120304964
113	0.005115239154
114	0.005110347717
115	0.005105938656
116	0.005098881299
117	0.005092849165
118	0.005087394217
119	0.005081048867
120	0.005076737307
121	0.005073275344
122	0.005067026866
123	0.005062157545
124	0.005057680792
125	0.005051366476
126	0.005045623371
127	0.005040527285
128	0.005036661215
129	0.005032512309
130	0.005027074748
131	0.005022586432
132	0.005016434357
133	0.005011963141
134	0.005007367214
135	0.005002347743
136	0.004997314069
137	0.004995188604
138	0.004989153645
139	0.004981994843
140	0.004977651593
141	0.004972370155
142	0.004967436865
143	0.004962962276
144	0.004959165354
145	0.004953792868
146	0.004949722667
147	0.004947095507
148	0.004943251698
149	0.004938111799
150	0.004932802159
151	0.004928344305
152	0.004924695764
153	0.004919424705
154	0.004913978117
155	0.004910528079
156	0.004906730343
157	0.004902901796
158	0.004899046782
159	0.004896346943
160	0.004892051608
161	0.004888643971
162	0.004883384764
163	0.004880552082
164	0.00487755436
165	0.004875131704
166	0.004872543498
167	0.00486926124
168	0.004865958918
169	0.004861214292
170	0.004856593166
171	0.00485357293
172	0.004850871485
173	0.004846497151
174	0.004843427732
175	0.00483813422
176	0.004835014456
177	0.004830600049
178	0.004825962775
179	0.004822958417
180	0.004820011177
181	0.004817889109
182	0.004816127918
183	0.00481322578
184	0.004809503377
185	0.004807301993
186	0.004804888517
187	0.004799914085
188	0.004796669811
189	0.004794323688
190	0.004790818351
191	0.004788815442
192	0.004785656289
193	0.004781962124
194	0.004779474284
195	0.004776435531
196	0.004773997511
197	0.004770603124
198	0.0047670056
199	0.004763878479
200	0.004761846107
201	0.004757626384
202	0.004754470006
203	0.004751515955
204	0.004748066104
205	0.004746379775
206	0.004743201374
207	0.004739421724
208	0.004735675345
209	0.004733448205
210	0.004731979528
211	0.004729700428
212	0.00472643161
213	0.004724240547
214	0.004720613352
215	0.004718783125
216	0.004716830294
217	0.004715076511
218	0.004712651442
219	0.004709619592
220	0.004707973874
221	0.004705725415
222	0.004703340139
223	0.004701743383
